,seasonal_naive,ets,gradient_boosting,chronos
1,1218.2,565.0109465271447,679.0699033779022,492.5630859375
2,1029.6,918.9161527287193,1017.6163163626572,911.921142578125
3,1451.6,1309.9602879634015,1285.5031833840387,1295.6611328125
4,840.2,1067.6872359391923,1062.3823936568765,1041.95576171875
5,1114.4,1239.3723839000781,1372.3596949030411,1053.64423828125
6,1497.0,1334.0123843998617,1400.9858374185555,1229.57705078125
7,965.2,1096.0738680207078,768.1098678822242,876.69150390625
8,521.6,1104.349833926471,597.9105920698601,983.97626953125
9,444.8,916.1344889410566,657.586503170681,803.784521484375
10,311.8,708.017901044225,755.1736752637635,402.7994140625
11,351.8,639.448791034583,606.5035295737059,380.6873046875
12,676.0,718.0962732656814,741.3904805197402,609.05830078125
13,1019.8,613.7629290078434,790.2435507187449,558.8658203125
14,800.2,1060.8769111355189,719.3195266194173,765.775390625
15,1653.0,1026.356508205377,996.3602345059547,822.32060546875
16,1085.2,1276.8626088232163,775.6596934908773,1156.45595703125
17,774.2,1235.1571633026037,588.1892046284605,932.8703125
18,1010.0,1330.5221177620401,784.466539688611,957.39365234375
19,1115.0,1373.4026214424007,487.252896397533,1016.81171875
20,893.2,1334.3353346596489,729.4342333788766,1090.3234375
21,1656.6,2048.0493167873246,1280.3457808196304,1598.66962890625
22,2318.4,3117.4781846475094,1826.8189406346341,2685.41640625
23,1544.2,2735.7196826778477,1293.021340343626,2156.23330078125
24,1414.4,1980.893810383767,672.2592713289929,1403.79150390625
25,890.0,1816.726149813303,437.27203640084156,1155.02744140625
26,712.4,1294.0028037281932,513.5845262408893,791.158984375
27,652.8,1224.7077403114545,989.2282990001077,888.7986328125
28,690.4,1097.126923390105,940.9620810670885,603.93115234375
29,790.0,1387.81613931728,618.3906088288908,726.09716796875
30,763.0,1081.6576373476187,811.6764926616818,567.4958984375
